4482330122080443|07|2026|835
4482330122083702|04|2027|998
4482330122087208|08|2026|758
4482330122082738|03|2027|957
4482330122080443|08|2028|914
4482330122082134|11|2024|365
4482330122080005|01|2025|708
4482330122080518|03|2025|480
4482330122083132|08|2027|688
4482330122081821|12|2024|791
4482330122087075|10|2026|367
4482330122083546|10|2025|364
4482330122082142|05|2025|477
4482330122081367|04|2025|927
4482330122088065|03|2027|641
4482330122086655|01|2026|923
4482330122088750|11|2028|258
4482330122081110|12|2027|850
4482330122080823|11|2027|311
4482330122085137|10|2026|268
